"","var_id","code","description","name"
"1","EA001",0,"Zero to 5 percent dependence","0-5%"
"2","EA001",1,"6 to 15 percent dependence","6-15%"
"3","EA001",2,"16 to 25 percent dependence","16-25%"
"4","EA001",3,"26 to 35 percent dependence","26-35%"
"5","EA001",4,"36 to 45 percent dependence","36-45%"
"6","EA001",5,"46 to 55 percent dependence","46-55%"
"7","EA001",6,"56 to 65 percent dependence","56-65%"
"8","EA001",7,"66 to 75 percent dependence","66-75%"
"9","EA001",8,"76 to 85 percent dependence","76-85%"
"10","EA001",9,"86 to 100 percent dependence","86-100%"
"11","EA001",NA,"Missing data","Missing data"
"12","EA002",0,"Zero to 5 percent dependence","0-5%"
"13","EA002",1,"6 to 15 percent dependence","6-15%"
"14","EA002",2,"16 to 25 percent dependence","16-25%"
"15","EA002",3,"26 to 35 percent dependence","26-35%"
"16","EA002",4,"36 to 45 percent dependence","36-45%"
"17","EA002",5,"46 to 55 percent dependence","46-55%"
"18","EA002",6,"56 to 65 percent dependence","56-65%"
"19","EA002",7,"66 to 75 percent dependence","66-75%"
"20","EA002",8,"76 to 85 percent dependence","76-85%"
"21","EA002",9,"86 to 100 percent dependence","86-100%"
"22","EA002",NA,"Missing data","Missing data"
"23","EA003",0,"Zero to 5 percent dependence","0-5%"
"24","EA003",1,"6 to 15 percent dependence","6-15%"
"25","EA003",2,"16 to 25 percent dependence","16-25%"
"26","EA003",3,"26 to 35 percent dependence","26-35%"
"27","EA003",4,"36 to 45 percent dependence","36-45%"
"28","EA003",5,"46 to 55 percent dependence","46-55%"
"29","EA003",6,"56 to 65 percent dependence","56-65%"
"30","EA003",7,"66 to 75 percent dependence","66-75%"
"31","EA003",8,"76 to 85 percent dependence","76-85%"
"32","EA003",9,"86 to 100 percent dependence","86-100%"
"33","EA003",NA,"Missing data","Missing data"
"34","EA004",0,"Zero to 5 percent dependence","0-5%"
"35","EA004",1,"6 to 15 percent dependence","6-15%"
"36","EA004",2,"16 to 25 percent dependence","16-25%"
"37","EA004",3,"26 to 35 percent dependence","26-35%"
"38","EA004",4,"36 to 45 percent dependence","36-45%"
"39","EA004",5,"46 to 55 percent dependence","46-55%"
"40","EA004",6,"56 to 65 percent dependence","56-65%"
"41","EA004",7,"66 to 75 percent dependence","66-75%"
"42","EA004",8,"76 to 85 percent dependence","76-85%"
"43","EA004",9,"86 to 100 percent dependence","86-100%"
"44","EA004",NA,"Missing data","Missing data"
"45","EA005",0,"Zero to 5 percent dependence","0-5%"
"46","EA005",1,"6 to 15 percent dependence","6-15%"
"47","EA005",2,"16 to 25 percent dependence","16-25%"
"48","EA005",3,"26 to 35 percent dependence","26-35%"
"49","EA005",4,"36 to 45 percent dependence","36-45%"
"50","EA005",5,"46 to 55 percent dependence","46-55%"
"51","EA005",6,"56 to 65 percent dependence","56-65%"
"52","EA005",7,"66 to 75 percent dependence","66-75%"
"53","EA005",8,"76 to 85 percent dependence","76-85%"
"54","EA005",9,"86 to 100 percent dependence","86-100%"
"55","EA005",NA,"Missing data","Missing data"
"56","EA006",NA,"Missing data","Missing data"
"57","EA006",1,"Bride-price or bride-wealth, i.e., transfer of a substantial consideration in the form of livestock, goods, or money from the groom or his relatives to the kinsmen of the bride","Bride-wealth"
"58","EA006",2,"Bride-service, i.e., a substantial material consideration in which the principal element consists of labor or other services rendered by the groom to the bride's kinsmen","Bride-service"
"59","EA006",3,"Token bride-price, i.e., a small or symbolic payment only","Token bride-wealth"
"60","EA006",4,"Gift exchange, i.e., reciprocal exchange of gifts of substantial value between the relatives of the bride and groom, or a continuing exchange of goods and services in approximately equal amounts between the groom or his kinsmen and the bride's relatives","Gift exchange"
"61","EA006",5,"Exchange, i.e., transfer of a sister or other female relative of the groom in exchange for the bride","Woman exchange"
"62","EA006",6,"Absence of any significant consideration, or bridal gifts only","Insignificant"
"63","EA006",7,"Dowry, i.e., transfer of a substantial amount of property from the bride's relatives to the bride, the groom, or the kinsmen of the latter","Dowry"
"64","EA007",NA,"Missing data","Missing data"
"65","EA007",1,"Bride-price or bride-wealth, i.e., transfer of a substantial consideration in the form of livestock, goods, or money from the groom or his relatives to the kinsmen of the bride","Bride-wealth"
"66","EA007",2,"Bride-service, i.e., a substantial material consideration in which the principal element consists of labor or other services rendered by the groom to the bride's kinsmen","Bride-service"
"67","EA007",3,"Token bride-price, i.e., a small or symbolic payment only","Token bride-wealth"
"68","EA007",4,"Gift exchange, i.e., reciprocal exchange of gifts of substantial value between the relatives of the bride and groom, or a continuing exchange of goods and services in approximately equal amounts between the groom or his kinsmen and the bride's relatives","Gift exchange"
"69","EA007",5,"Exchange, i.e., transfer of a sister or other female relative of the groom in exchange for the bride","Woman exchange"
"70","EA007",6,"Absence of any significant consideration, or bridal gifts only","Insignificant"
"71","EA007",7,"Dowry, i.e., transfer of a substantial amount of property from the bride's relatives to the bride, the groom, or the kinsmen of the latter","Dowry"
"72","EA007",8,"No alternate mode or supplementary practices, see ""Mode of marriage (primary)""","No alternate"
"73","EA008",NA,"Missing data","Missing data"
"74","EA008",1,"Independent nuclear families with monogamy","Nuclear, monogamous"
"75","EA008",2,"Independent nuclear families with occasional or limited polygyny","Nuclear, limited polygyny"
"76","EA008",3,"Independent polyandrous families","Polyandrous"
"77","EA008",4,"Independent polygynous families, unusual co-wives pattern (either polygyny is preferentially sororal, with cowives in separate quarters or it is typically non-sororal, with cowives in same quarters","Polygyny, atypical cowives pattern"
"78","EA008",5,"Independent polygynous families, usual co-wives pattern (either polygyny is preferentially sororal, with cowives in same quarters, OR typically non-sororal, with cowives in separate quarters)","Polygyny, typical cowives pattern"
"79","EA008",6,"Minimal extended or ""stem"" families, i.e., those consisting of only two related families of procreation (disregarding polygamous unions), particularly of adjacent generations","Minimal extended"
"80","EA008",7,"Small extended families, i.e., those normally embracing the families of procreation of only one individual in the senior generation but of at least two in the next generation. Such families usually dissolve on the death of the head","Small extended"
"81","EA008",8,"Large extended families, i.e., corporate aggregations of smaller family units occupying a single dwelling or a number of adjacent dwellings and normally embracing the families of procreation of at least two siblings or cousins in each of at least two adjacent generations","Large extended"
"82","EA009",NA,"Missing data","Missing data"
"83","EA009",1,"Monogamous","Monogamous"
"84","EA009",2,"Polygynous, with polygyny occasional or limited","Limited polygyny"
"85","EA009",3,"Polygynous, with polygyny common and preferentially sororal, and co-wives not reported to occupy separate quarters","Polygyny, sororal cohabit"
"86","EA009",4,"Polygynous, with polygyny common and preferentially sororal, and co-wives typically occupying separate quarters","Polygyny, sororal separate"
"87","EA009",5,"Polygynous, with polygyny general and not reported to be preferentially sororal, and co-wives typically occupying separate quarters","Polygyny, non-sororal cohabit"
"88","EA009",6,"Polygynous, with polygyny general and not reported to be preferentially sororal, and co-wives not reported to occupy separate quarters","Polygyny, non-sororal separate"
"89","EA009",7,"Polyandrous","Polyandrous"
"90","EA010",NA,"Missing data","Missing data"
"91","EA010",1,"Avunculocal, i.e., normal residence with or near the maternal uncle or other male matrilineal kinsmen of the husband","Avunculocal"
"92","EA010",2,"Ambilocal, i.e., residence established optionally with or near the parents of either the husband or the wife, depending upon circumstances or personal choice, where neither alternative exceeds the other in actual frequency by a ratio greater than two to one.","Ambilocal"
"93","EA010",3,"Optionally uxorilocal or avunculocal. This may be the case in a uxorilocal society where many men marry a MoBrDa and thus, in fact, live avunculocally","Avuncu-uxorilocal"
"94","EA010",4,"Optionally patrilocal (or virilocal) or avunculocal","Avuncu-virilocal"
"95","EA010",5,"Matrilocal, i.e., normal residence with or near the female matrilineal kinsmen of the wife. Cf. U Uxorilocal","Matrilocal"
"96","EA010",6,"Neolocal, i.e., normal residence apart from the relatives of both spouses or at a place not determined by the kin ties of either","Neolocal"
"97","EA010",7,"Nonestablishment of a common household, i.e., where both spouses remain in their natal households, sometimes called ""duolocal"" or ""natolocal"" residence","Separate"
"98","EA010",8,"Patrilocal, i.e., normal residence with or near the male patrilineal kinsmen of the husband. Cf. V Virilocal","Patrilocal"
"99","EA010",9,"Uxorilocal. Equivalent to ""matrilocal"" but confined to instances where the wife's matrikin are not aggregated in matrilocal and matrilineal kin groups","Uxorilocal"
"100","EA010",10,"Virilocal. Equivalent to ""patrilocal"" but confined to instances where the husband's patrikin are not aggregated in patrilocal and patrilineal kin groups","Virilocal"
"101","EA010",11,"Ambilocal, with a marked preponderance of uxorilocal practice (i.e., uxorilocal option exceeds virilocal option in actual frequency by a ratio greater than two to one).","Ambi-uxo"
