Preferred.society.name,Society.id,Revised.latitude,Revised.longitude,region,continent,Island_check
Kisama,Ab21a,-10,14,Angola,Africa,0
Chopi,Ab22,-24.76,34.47,Mozambique,Africa,0
Kwere,Ad27,-7,39,United Republic of Tanzania,Africa,0
Zigula,Ad28,-5.84,38.79,United Republic of Tanzania,Africa,0
Hadimu,Ad29,-6.07,39.43,East Tropical Africa,Africa,1
Bubi,Ae44,3.54,8.72,Equatorial Guinea:Fernando Po,Africa,1
Mpongwe,Ae46,-2,10,Gabon,Africa,0
Puku,Ae47,2,10,Equatorial Guinea:Rio Muni,Africa,0
Ijaw,Af21,4.37,6.58,West Tropical Africa,Africa,0
Itsekiri,Af22,6,5,Nigeria,Africa,0
Isoko,Af25,5,6,Nigeria,Africa,0
Alagya,Af44,5.22,-4.42,Ivory Coast,Africa,0
Avikam,Af45,5.15,-5.25,Ivory Coast,Africa,0
Baga,Ag14,10,-14,West Tropical Africa,Africa,0
Balanta,Ag15,12,-16,Guinea Bissau,Africa,0
Banyun,Ag16,12,-16,Guinea Bissau,Africa,0
Bijogo,Ag18,11.1,-16.15,Guinea Bissau,Africa,1
Diola,Ag19,12.88,-16.19,Senegal,Africa,0
Papel,Ag20,12,-16,Guinea Bissau,Africa,0
Guanche,Cd11,27.99,-15.62,Canary Islands:Gran Canaria,Africa,1
Moroccans,Cd16,33,-8,Morocco,Africa,0
Sahel,Cd19,35,10.94,Northern Africa,Africa,0
Gheg,Ce1,42,20,Albania,Eurasia,0
Ancient Romans,Ce3,42,12,Italy,Eurasia,0
Spaniards,Ce6,37,-6,Spain,Eurasia,0
Tristan da Cunha,Cf3,-37.11,-12.27,Subantarctic Islands,-999,1
Icelanders,Cg2,64,-20,Iceland,Eurasia,1
Irish,Cg3,53,-9,Ireland,Eurasia,1
Abkhaz,Ci12,43,41,Georgia,Eurasia,0
Syrians,Cj1,36,36,Turkey,Eurasia,0
Lebanese,Cj7,34,36,Lebanon,Eurasia,0
Druze,Cj8,32.77,35.03,Israel,Eurasia,0
Nivkh,Ec1,53,142,Russia:Ostrov Sakhalin,Eurasia,1
Orok,ec19,54.01,142.71,Russia:Ostrov Sakhalin,Eurasia,1
Ainu,Ec7,44,144,Japan:Hokkaido,Eurasia,1
Ishigakians,Ed13,24.46,124.14,Japan:Ishigaki Shima,Eurasia,1
Miyakans,Ed15a,24.79,125.32,Japan:Miyako Jima,Eurasia,1
Japanese,Ed5,35,136,Japan:Honshu,Eurasia,1
Okinawans,Ed7,26.16,127.8,Japan:Okinawa,Eurasia,1
Li,Ed9,19,109,China:1,Eurasia,1
Kodavas,Eg5,12,76,India,Eurasia,0
Kerala,Eg6,11,76,India,Eurasia,0
Andamanese,Eh1,12,93,India:Havelock Island,Eurasia,1
Betsileo,Eh10,-22,47,Madagascar,Africa,1
Merina,Eh2,-19,46,Madagascar,Africa,1
Tanala,Eh3,-22,47,Madagascar,Africa,1
Vedda,Eh4,8,81,Sri Lanka,Eurasia,1
Nicobarese,Eh5,9.17,92.77,India:Car Nicobar Island,Eurasia,1
Sinhalese,Eh6,7,80,Sri Lanka,Eurasia,1
Sakalava,Eh8,-21,43.93,Madagascar,Africa,1
Antaisaka,Eh9,-22.9,47.75,Madagascar,Africa,1
Negri Sembilan,Ej16,2.58,102,"Malaysia:Malay Penninsula
",Eurasia,0
Atayal,Ia1,24,121,Taiwan,Eurasia,1
Bunun,Ia10,24,121,Taiwan,Eurasia,1
Sugbuanon,Ia12,10.2,123.65,Philippines:Cebu,Eurasia,1
Tao,Ia14,22.05,121.55,Eastern Asia,Eurasia,1
Manobo,Ia15,8,126,Philippines:Mindanao,Eurasia,1
Kalinga,Ia16,18,121,Philippines:43,Eurasia,1
Bilaan,Ia17,6,125,Philippines:Mindanao,Eurasia,1
Sagada,Ia2,17,121,Philippines:43,Eurasia,1
Ifugao,Ia3,17,121,Philippines:43,Eurasia,1
Subanun,Ia4,8,123,Philippines:Mindanao,Eurasia,1
Hanunoo,Ia5,13,121,Philippines:Mindoro,Eurasia,1
Paiwan,Ia6,22.44,120.77,Taiwan,Eurasia,1
Tagbanua,Ia7,10,119,Malesia,Eurasia,1
Bontok,Ia8,17,121,Philippines:43,Eurasia,1
Ami,Ia9,22.7,121.05,Taiwan,Eurasia,1
Iban,Ib1,2,112,Malaysia:Sarawak,Eurasia,1
Javanese,Ib2,-7,110,Indonesia:Java,Eurasia,1
Balinese,Ib3,-8.18,115.02,Indonesia:Bali,Eurasia,1
Toba Batak,Ib4,2,99,Indonesia:Sumatra,Eurasia,1
Kadazan-Dusun,Ib5,6,117,Malaysia:Sarawak,Eurasia,1
Minangkabau,Ib6,-1,101,Indonesia:Sumatra,Eurasia,1
Mentaweians,Ib7,-2.93,100.23,Indonesia:Pagai Selatan,Eurasia,1
Anak Dalam,Ib8,-3,103,Indonesia:Sumatra,Eurasia,1
Punan,Ib9,3,115,Malaysia:Sarawak,Eurasia,1
Macassarese,Ic1,-5.31,119.69,Indonesia:Sulawesi,Eurasia,1
Tobelorese,Ic10,1,128,Indonesia:Halmahera,Eurasia,1
Ambonese,Ic11,-3.71,128.18,Indonesia:Ambon,Eurasia,1
Sumbawanese,Ic12,-8.63,117.27,Indonesia:Sumbawa,Eurasia,1
Kodi,Ic13,-9.66,119.07,Indonesia:Sumba,Eurasia,1
Alorese,Ic2,-8.22,124.26,Indonesia:Pantar,Eurasia,1
Rotinese,Ic4,-10.71,123.18,Indonesia:Roti,Eurasia,1
Toradja,Ic5,-2,121,Indonesia:Sulawesi,Eurasia,1
Tanimbarese,Ic6,-8.19,130.96,Indonesia:Selaru,Eurasia,1
Ili-Mandiri,Ic7,-8.33,122.85,Indonesia:Flores,Eurasia,1
Kei,Ic8,-5.58,133.07,Indonesia:Cut,Eurasia,1
Sumbanese,Ic9,-10,120,Indonesia:Sumba,Eurasia,1
Yir Yoront,Id12,-15,142,Australia,Australia,0
