Trait,Original code,New code,Original_name,New_name,Category,Category2,Notes
EA001,NA,NA,NA,NA,"Subsistence, Economy",Subsistence,"Ordinal data, not well suited for assigning sharing/non-sharing of culture status for pairs of societies. Excluded from analyses."
EA002,NA,NA,NA,NA,"Subsistence, Economy",Subsistence,"Ordinal data, not well suited for assigning sharing/non-sharing of culture status for pairs of societies. Excluded from analyses."
EA003,NA,NA,NA,NA,"Subsistence, Economy",Subsistence,"Ordinal data, not well suited for assigning sharing/non-sharing of culture status for pairs of societies. Excluded from analyses."
EA004,NA,NA,NA,NA,"Subsistence, Economy",Subsistence,"Ordinal data, not well suited for assigning sharing/non-sharing of culture status for pairs of societies. Excluded from analyses."
EA005,NA,NA,NA,NA,"Subsistence, Economy",Subsistence,"Ordinal data, not well suited for assigning sharing/non-sharing of culture status for pairs of societies. Excluded from analyses."
EA006,NA,NA,Missing data,Missing data,"Marriage, Kinship, Wealth Transactions, Economy","Marriage, Kinship",Do societies share the prevailing type of transfer/exchange at marriage?
EA006,1,1,Bride-wealth,Bride-wealth,"Marriage, Kinship, Wealth Transactions, Economy","Marriage, Kinship",
EA006,2,2,Bride-service,Bride-service,"Marriage, Kinship, Wealth Transactions, Economy","Marriage, Kinship",
EA006,3,3,Token bride-wealth,Token bride-wealth,"Marriage, Kinship, Wealth Transactions, Economy","Marriage, Kinship",
EA006,4,4,Gift exchange,Gift exchange,"Marriage, Kinship, Wealth Transactions, Economy","Marriage, Kinship",
EA006,5,5,Woman exchange,Woman exchange,"Marriage, Kinship, Wealth Transactions, Economy","Marriage, Kinship",
EA006,6,6,Insignificant,Insignificant,"Marriage, Kinship, Wealth Transactions, Economy","Marriage, Kinship","Insignificant is left as a category, rather than replaced with NA. In these societies marriages and exchanges at marriage still happen, and the type of transfer differs from other societies by being small/absent."
EA006,7,7,Dowry,Dowry,"Marriage, Kinship, Wealth Transactions, Economy","Marriage, Kinship",
EA007,NA,NA,NA,NA,"Marriage, Kinship, Wealth Transactions, Economy","Marriage, Kinship","For the goals of this analysis, redundant to EA006, as it represents alternative types of transfer or exchange at marriage. Excluded from analyses."
EA008,NA,Missing data,Missing data,Missing data,"Marriage, Kinship","Marriage, Kinship",Do societies share the type of domestic organization (defined based on both mating system and organization of families)?.
EA008,1,1,"Nuclear, monogamous","Nuclear, monogamous","Marriage, Kinship","Marriage, Kinship",
EA008,2,2,"Nuclear, limited polygyny","Nuclear, limited polygyny","Marriage, Kinship","Marriage, Kinship",
EA008,3,3,Polyandrous,Polyandrous,"Marriage, Kinship","Marriage, Kinship",
EA008,4,4,"Polygyny, atypical cowives pattern","Polygyny, atypical cowives pattern","Marriage, Kinship","Marriage, Kinship",
EA008,5,5,"Polygyny, typical cowives pattern","Polygyny, typical cowives pattern","Marriage, Kinship","Marriage, Kinship",
EA008,6,6,Minimal extended,Minimal extended,"Marriage, Kinship","Marriage, Kinship",
EA008,7,7,Small extended,Small extended,"Marriage, Kinship","Marriage, Kinship",
EA008,8,8,Large extended,Large extended,"Marriage, Kinship","Marriage, Kinship",
EA009,NA,NA,Missing data,Missing data,"Marriage, Kinship","Marriage, Kinship","Do societies share the marital composition of family units, defined using both mating system and other aspects such sororal/non-sororal polygyny and the organization of co-wives quarters?"
EA009,1,1,Monogamous,Monogamous,"Marriage, Kinship","Marriage, Kinship",
EA009,2,2,Limited polygyny,Limited polygyny,"Marriage, Kinship","Marriage, Kinship",
EA009,3,3,"Polygyny, sororal cohabit","Polygyny, sororal cohabit","Marriage, Kinship","Marriage, Kinship",
EA009,4,4,"Polygyny, sororal separate","Polygyny, sororal separate","Marriage, Kinship","Marriage, Kinship",
